player_id,name,pos,dob,current_team,year,team,g,pa,hr,r,rbi,sb,avg,normal_hr,normal_r,normal_rbi,normal_sb,normal_avg,z_hr,z_r,z_rbi,z_sb,z_avg,value,cost,drafted
10155,Mike Trout,OF,33457,Angels,2014,Steamer,146,663,27,109,89,31,0.308,0.040723982,0.164404223,0.134238311,0.046757164,0.000464555,1.42,1.59,1.02,2.20,-0.51,3.80,48,0
1744,Miguel Cabrera,1B/3B,30424,Tigers,2014,Steamer,148,656,37,105,115,3,0.325,0.056402439,0.160060976,0.175304878,0.004573171,0.000495427,2.48,1.50,1.90,-0.56,-0.51,3.16,40,0
1887,Jose Bautista,3B/OF,29513,Blue Jays,2014,Steamer,130,581,33,88,90,6,0.262,0.056798623,0.151462995,0.154905336,0.010327022,0.000450947,2.51,1.31,1.46,-0.18,-0.51,2.67,34,0
9272,Chris Davis,1B,31488,Orioles,2014,Steamer,146,620,37,86,99,3,0.266,0.059677419,0.138709677,0.159677419,0.00483871,0.000429032,2.70,1.04,1.57,-0.54,-0.51,2.64,33,0
2151,Edwin Encarnacion,3B,30323,Blue Jays,2014,Steamer,148,645,33,92,100,7,0.271,0.051162791,0.142635659,0.15503876,0.010852713,0.000420155,2.13,1.12,1.47,-0.15,-0.51,2.62,33,0
4727,Jacoby Ellsbury,OF,30570,Red Sox,2014,Steamer,146,677,15,92,64,37,0.276,0.022156573,0.135893648,0.094534712,0.05465288,0.000407681,0.17,0.98,0.16,2.72,-0.51,2.38,30,0
1177,Albert Pujols,1B,29236,Angels,2014,Steamer,138,613,30,87,97,4,0.282,0.048939641,0.141924959,0.158238173,0.006525285,0.000460033,1.98,1.11,1.54,-0.43,-0.51,2.26,28,0
4613,Prince Fielder,1B,30811,Tigers,2014,Steamer,146,634,29,92,99,1,0.292,0.045741325,0.14511041,0.15615142,0.001577287,0.000460568,1.76,1.17,1.49,-0.76,-0.51,2.00,25,0
6368,Adam Jones,OF,31260,Orioles,2014,Steamer,133,580,25,73,86,9,0.278,0.043103448,0.125862069,0.148275862,0.015517241,0.00047931,1.58,0.76,1.32,0.16,-0.51,1.92,24,0
9368,Evan Longoria,3B,31327,Rays,2014,Steamer,146,640,30,86,96,2,0.264,0.046875,0.134375,0.15,0.003125,0.0004125,1.84,0.94,1.36,-0.65,-0.51,1.90,24,0
3708,Rajai Davis,OF,29513,Blue Jays,2014,Steamer,97,418,6,49,40,35,0.258,0.014354067,0.11722488,0.09569378,0.083732057,0.000617225,-0.36,0.57,0.18,4.63,-0.51,1.89,24,0
639,Adrian Beltre,3B,28952,Rangers,2014,Steamer,146,633,28,85,101,1,0.296,0.044233807,0.134281201,0.159557662,0.001579779,0.000467615,1.66,0.94,1.56,-0.76,-0.51,1.84,23,0
2090,Alex Rios,OF,29635,Rangers,2014,Steamer,138,595,16,70,75,23,0.268,0.026890756,0.117647059,0.12605042,0.038655462,0.00045042,0.49,0.58,0.84,1.67,-0.51,1.83,23,0
2090,Alex Rios,OF,29635,White Sox,2014,Steamer,138,595,16,70,75,23,0.268,0.026890756,0.117647059,0.12605042,0.038655462,0.00045042,0.49,0.58,0.84,1.67,-0.51,1.83,23,0
11846,Leonys Martin,OF,32208,Rangers,2014,Steamer,130,523,10,65,56,29,0.267,0.019120459,0.124282983,0.10707457,0.055449331,0.000510516,-0.03,0.73,0.43,2.77,-0.51,1.77,22,0
1572,Coco Crisp,OF,29160,Athletics,2014,Steamer,130,598,15,81,59,25,0.261,0.025083612,0.135451505,0.098662207,0.04180602,0.000436455,0.37,0.97,0.25,1.88,-0.51,1.77,22,0
6876,Mark Trumbo,1B/OF,31428,Angels,2014,Steamer,132,560,27,68,82,5,0.254,0.048214286,0.121428571,0.146428571,0.008928571,0.000453571,1.93,0.66,1.28,-0.27,-0.51,1.73,22,0
10071,Jonathan Villar,SS,33360,Astros,2014,Steamer,122,527,10,61,47,33,0.243,0.018975332,0.115749526,0.089184061,0.062618596,0.000461101,-0.04,0.54,0.04,3.24,-0.51,1.73,22,0
13110,Yoenis Cespedes,OF,31338,Athletics,2014,Steamer,122,529,22,66,76,9,0.261,0.041587902,0.124763705,0.143667297,0.017013233,0.000493384,1.48,0.74,1.22,0.26,-0.51,1.69,21,0
6195,Ian Kinsler,2B,30124,Rangers,2014,Steamer,146,676,19,93,71,19,0.261,0.028106509,0.137573964,0.105029586,0.028106509,0.000386095,0.57,1.01,0.38,0.98,-0.51,1.65,21,0
319,Adam Dunn,1B/OF,29168,White Sox,2014,Steamer,136,592,30,75,80,2,0.216,0.050675676,0.126689189,0.135135135,0.003378378,0.000364865,2.10,0.78,1.04,-0.64,-0.51,1.63,21,0
745,David Ortiz,DH,27716,Red Sox,2014,Steamer,130,562,24,79,85,2,0.285,0.042704626,0.140569395,0.151245552,0.003558719,0.000507117,1.56,1.08,1.38,-0.63,-0.51,1.62,20,0
847,Alfonso Soriano,2B/OF,27766,Yankees,2014,Steamer,130,558,23,65,76,10,0.238,0.041218638,0.116487455,0.136200717,0.017921147,0.000426523,1.46,0.56,1.06,0.31,-0.51,1.61,20,0
9776,Jason Kipnis,2B,31870,Indians,2014,Steamer,138,618,15,78,69,22,0.262,0.024271845,0.126213592,0.111650485,0.035598706,0.000423948,0.31,0.77,0.53,1.47,-0.51,1.59,20,0
2434,Nelson Cruz,OF,29403,Rangers,2014,Steamer,130,548,25,66,77,6,0.254,0.045620438,0.120437956,0.140510949,0.010948905,0.000463504,1.75,0.64,1.15,-0.14,-0.51,1.59,20,0
1281,Mark Teixeira,1B,29322,Yankees,2014,Steamer,130,566,26,74,80,3,0.247,0.045936396,0.130742049,0.141342756,0.005300353,0.000436396,1.78,0.86,1.17,-0.51,-0.51,1.58,20,0
3516,Eric Hosmer,1B,32805,Royals,2014,Steamer,148,643,21,83,85,11,0.288,0.032659409,0.129082426,0.132192846,0.017107309,0.0004479,0.88,0.83,0.97,0.26,-0.51,1.56,20,0
4747,Curtis Granderson,OF,29661,Yankees,2014,Steamer,133,581,24,71,68,11,0.228,0.04130809,0.122203098,0.117039587,0.018932874,0.000392427,1.46,0.68,0.64,0.38,-0.51,1.55,19,0
10047,Wil Myers,OF,33217,Rays,2014,Steamer,146,625,24,77,83,8,0.264,0.0384,0.1232,0.1328,0.0128,0.0004224,1.27,0.70,0.98,-0.02,-0.51,1.52,19,0
3269,Robinson Cano,2B,30246,Yankees,2014,Steamer,146,644,24,86,90,4,0.292,0.037267081,0.133540373,0.139751553,0.00621118,0.000453416,1.19,0.92,1.14,-0.45,-0.51,1.47,19,0
1875,Josh Hamilton,OF,29727,Angels,2014,Steamer,138,602,24,77,85,4,0.263,0.03986711,0.127906977,0.141196013,0.006644518,0.000436877,1.37,0.80,1.17,-0.42,-0.51,1.45,18,0
1965,Desmond Jennings,OF,31715,Rays,2014,Steamer,138,624,15,80,59,23,0.247,0.024038462,0.128205128,0.094551282,0.036858974,0.000395833,0.30,0.81,0.16,1.56,-0.51,1.44,18,0
9911,Chris Carter,1B/OF,31764,Astros,2014,Steamer,118,504,25,64,71,2,0.235,0.049603175,0.126984127,0.140873016,0.003968254,0.00046627,2.02,0.78,1.16,-0.60,-0.51,1.44,18,0
7002,Will Middlebrooks,3B,32395,Red Sox,2014,Steamer,122,491,22,60,69,5,0.261,0.044806517,0.122199593,0.140529532,0.010183299,0.000531568,1.70,0.68,1.15,-0.19,-0.51,1.39,18,0
5247,Brett Lawrie,3B,32891,Blue Jays,2014,Steamer,130,553,17,70,68,13,0.274,0.03074141,0.126582278,0.122965642,0.023508137,0.000495479,0.75,0.77,0.77,0.68,-0.51,1.37,17,0
5417,Jose Altuve,2B,32999,Astros,2014,Steamer,143,650,9,79,62,29,0.288,0.013846154,0.121538462,0.095384615,0.044615385,0.000443077,-0.39,0.67,0.18,2.06,-0.51,1.31,16,0
1736,Jose Reyes,SS,30478,Blue Jays,2014,Steamer,130,600,10,82,58,23,0.29,0.016666667,0.136666667,0.096666667,0.038333333,0.000483333,-0.20,0.99,0.20,1.65,-0.51,1.28,16,0
8027,Adam Lind,1B/DH/OF,30514,Blue Jays,2014,Steamer,138,592,24,75,84,1,0.265,0.040540541,0.126689189,0.141891892,0.001689189,0.000447635,1.41,0.78,1.18,-0.75,-0.51,1.25,16,0
4467,Brandon Moss,1B/OF,30575,Athletics,2014,Steamer,105,444,21,55,62,3,0.244,0.047297297,0.123873874,0.13963964,0.006756757,0.00054955,1.87,0.72,1.13,-0.42,-0.51,1.24,16,0
1677,Shane Victorino,OF,29555,Red Sox,2014,Steamer,113,511,11,68,56,17,0.272,0.021526419,0.133072407,0.109589041,0.033268102,0.00053229,0.13,0.91,0.48,1.32,-0.51,1.20,15,0
